topology,payoff,benefit,beta,mutation,init_c,sim,t,c
rrg,acc,1.005,10,0,0.2,1,447000,0.586
rrg,acc,1.005,10,0,0.2,1,448000,0.575
rrg,acc,1.005,10,0,0.2,1,449000,0.582
rrg,acc,1.005,10,0,0.2,1,450000,0.586
rrg,acc,1.005,10,0,0.2,1,451000,0.577
rrg,acc,1.005,10,0,0.2,1,452000,0.578
rrg,acc,1.005,10,0,0.2,1,453000,0.581
rrg,acc,1.005,10,0,0.2,1,454000,0.589
rrg,acc,1.005,10,0,0.2,1,455000,0.58
rrg,acc,1.005,10,0,0.2,1,456000,0.575
rrg,acc,1.005,10,0,0.2,1,457000,0.565
rrg,acc,1.005,10,0,0.2,1,458000,0.573
rrg,acc,1.005,10,0,0.2,1,459000,0.556
rrg,acc,1.005,10,0,0.2,1,460000,0.563
rrg,acc,1.005,10,0,0.2,1,461000,0.56
rrg,acc,1.005,10,0,0.2,1,462000,0.564
rrg,acc,1.005,10,0,0.2,1,463000,0.552
rrg,acc,1.005,10,0,0.2,1,464000,0.516
rrg,acc,1.005,10,0,0.2,1,465000,0.529
rrg,acc,1.005,10,0,0.2,1,466000,0.548
rrg,acc,1.005,10,0,0.2,1,467000,0.56
rrg,acc,1.005,10,0,0.2,1,468000,0.553
rrg,acc,1.005,10,0,0.2,1,469000,0.567
rrg,acc,1.005,10,0,0.2,1,470000,0.566
rrg,acc,1.005,10,0,0.2,1,471000,0.539
rrg,acc,1.005,10,0,0.2,1,472000,0.527
rrg,acc,1.005,10,0,0.2,1,473000,0.526
rrg,acc,1.005,10,0,0.2,1,474000,0.527
rrg,acc,1.005,10,0,0.2,1,475000,0.532
rrg,acc,1.005,10,0,0.2,1,476000,0.522
rrg,acc,1.005,10,0,0.2,1,477000,0.554
rrg,acc,1.005,10,0,0.2,1,478000,0.561
rrg,acc,1.005,10,0,0.2,1,479000,0.554
rrg,acc,1.005,10,0,0.2,1,480000,0.555
rrg,acc,1.005,10,0,0.2,1,481000,0.561
rrg,acc,1.005,10,0,0.2,1,482000,0.563
rrg,acc,1.005,10,0,0.2,1,483000,0.578
rrg,acc,1.005,10,0,0.2,1,484000,0.572
rrg,acc,1.005,10,0,0.2,1,485000,0.568
rrg,acc,1.005,10,0,0.2,1,486000,0.57
rrg,acc,1.005,10,0,0.2,1,487000,0.577
rrg,acc,1.005,10,0,0.2,1,488000,0.571
rrg,acc,1.005,10,0,0.2,1,489000,0.568
rrg,acc,1.005,10,0,0.2,1,490000,0.559
rrg,acc,1.005,10,0,0.2,1,491000,0.567
rrg,acc,1.005,10,0,0.2,1,492000,0.567
rrg,acc,1.005,10,0,0.2,1,493000,0.572
